Fid,Temp,Wind,Date_Time,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Area_accident_occured,Types_of_Junction,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Cause_of_accident,Accident_severity,Ambulace_Allocated,Ambulace_Pickedup,LATITUDE,LONGITUDE,Label
172.217.10.232-10.42.0.151-443-36598-6,27,4.7,31-10-22 19:31,40,Male,Employee,5-10yr,Long lorry,Residential areas,Other,Vehicle with vehicle collision,2,2,Going straight,No distancing,Serious Injury,No,No,41.29199,-73.08763237,1
182.22.25.252-10.42.0.42-80-40956-6,29,4.5,31-10-22 20:03,40,Male,Owner,5-10yr,Lorry (41?100Q),Office areas,Other,Vehicle with vehicle collision,2,2,Other,Moving Backward,Serious Injury,No,No,41.16741635,-73.18843759,1
10.42.0.211-77.234.44.201-44650-80-6,24,2.3,31-10-22 20:25,55,Male,Employee,2-5yr,Lorry (11?40Q),Office areas,Y Shape,Vehicle with vehicle collision,2,1,Going straight,No priority to pedestrian,Slight Injury,Yes,Yes,41.03868956,-73.63528264,0
10.42.0.151-10.42.0.1-12769-53-17,29,4.7,01-11-22 8:18,40,Male,Employee,2-5yr,Lorry (41?100Q),Residential areas,Y Shape,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the left,Slight Injury,No,No,41.43886103,-73.40586799,1
10.42.0.211-69.147.82.61-52001-443-6,30,6.1,01-11-22 8:24,40,Male,Employee,2-5yr,Public (12 seats), Church areas,No junction,Vehicle with vehicle collision,1,1,Going straight,No distancing,Slight Injury,Yes,Yes,41.03246509,-73.64025368,0
10.42.0.151-10.42.0.1-59304-53-17,23,2.2,01-11-22 8:53,30,Male,Employee,5-10yr,Car,Other,Crossing,Vehicle with vehicle collision,2,2,Going straight,Other,Slight Injury,Yes,Yes,41.2513808,-73.29504518,0
174.35.73.107-10.42.0.211-80-50108-6,29,2.3,01-11-22 9:01,40,Male,Employee,1-2yr,Taxi,Office areas,Crossing,Vehicle with vehicle collision,2,2,Going straight,No distancing,Slight Injury,No,No,41.21817096,-73.20153691,1
10.42.0.211-63.250.200.101-58453-443-6,31,2,01-11-22 9:10,45,Male,Owner,2-5yr,Car,Other,Y Shape,Vehicle with vehicle collision,1,1,Going straight,No priority to pedestrian,Slight Injury,No,No,41.38099407,-73.28094678,1
10.42.0.151-10.42.0.1-16972-53-17,31,3.4,01-11-22 9:18,50,Female,Owner,2-5yr,Automobile,Other,No junction,Vehicle with vehicle collision,2,1,Going straight,Moving Backward,Slight Injury,Yes,Yes,41.14876104,-73.28587186,0
180.163.15.184-10.42.0.151-80-38785-6,30,3.4,01-11-22 9:21,45,Male,Employee,1-3yr,Car,,No junction,Vehicle with vehicle collision,2,1,Going straight,No priority to pedestrian,Slight Injury,No,No,41.37920073,-73.35530869,1
8.41.222.241-10.42.0.42-443-40725-6,26,5.1,01-11-22 9:24,30,Male,Owner,1-2yr,Lorry (41?100Q),Residential areas,Y Shape,Vehicle with vehicle collision,2,1,Other,No distancing,Slight Injury,Yes,Yes,41.26041515,-73.42846392,0
10.42.0.211-10.42.0.1-9029-53-17,30,1.9,01-11-22 9:31,30,Male,Owner,Below 1yr,Automobile, Church areas,Y Shape,Vehicle with vehicle collision,2,1,Going straight,No priority to pedestrian,Slight Injury,No,No,30.35841995,-97.95460444,1
10.42.0.211-23.206.125.17-34412-80-6,28,1.3,01-11-22 9:38,35,Male,Employee,1-2yr,Automobile,Other,No junction,Vehicle with vehicle collision,2,1,Overtaking,Driving carelessly,Slight Injury,Yes,Yes,41.13691902,-73.36574725,0
216.58.217.99-10.42.0.42-443-32806-6,27,5.3,01-11-22 9:39,40,Male,Employee,1-2yr,Lorry (41?100Q),Other,No junction,Vehicle with vehicle collision,2,1,Going straight,Getting off the vehicle improperly,Slight Injury,No,No,41.0737512,-73.51692887,1
157.240.2.20-10.42.0.42-443-49589-6,32,3.2,01-11-22 9:44,45,Male,Employee,Above 10yr,Automobile,Residential areas,Crossing,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight Injury,Yes,Yes,41.03653867,-73.52481887,0
10.42.0.211-10.42.0.1-51782-53-17,30,5,01-11-22 9:48,40,Male,Employee,1-2yr,Automobile,Office areas,Crossing,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the left,Slight Injury,Yes,Yes,41.13467946,-73.37345886,0
10.42.0.42-106.11.92.6-37871-443-6,32,5.6,01-11-22 10:01,60,Male,Employee,2-5yr,Automobile, Industrial areas,No junction,Vehicle with vehicle collision,2,1,U-Turn,No priority to vehicle,Slight Injury,No,No,41.20019065,-73.25350969,1
219.142.78.162-10.42.0.211-80-49192-6,28,5,01-11-22 10:09,35,Male,Other,2-5yr,Taxi,Residential areas,No junction,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight Injury,Yes,Yes,41.33012465,-73.20921803,0
172.217.10.35-10.42.0.211-80-58421-6,32,1.6,01-11-22 10:13,60,Male,Employee,Above 10yr,Car,Office areas,Y Shape,Vehicle with vehicle collision,1,1,Going straight,Changing lane to the right,Serious Injury,No,No,41.2819258,-73.5051774,1
10.42.0.151-10.42.0.1-7262-53-17,27,2.3,01-11-22 10:16,45,Female,Employee,5-10yr,Car,Other,Y Shape,Collision with roadside objects,2,1,Going straight,No distancing,Slight Injury,No,No,41.23817816,-73.22313433,1
157.240.2.15-10.42.0.151-443-44519-6,29,8.2,01-11-22 10:17,30,Male,Employee,1-2yr,Automobile, Church areas,Y Shape,Collision with roadside objects,2,1,Going straight,No distancing,Slight Injury,No,No,41.23995837,-73.14498183,1
10.42.0.42-104.193.88.109-45263-80-6,32,4.8,01-11-22 10:23,40,Male,Employee,5-10yr,Pick up upto 10Q, Industrial areas,Other,Vehicle with vehicle collision,2,1,Turnover,Changing lane to the left,Slight Injury,Yes,Yes,41.15707908,-73.5982361,0
172.217.6.202-10.42.0.151-443-57812-6,29,3.6,01-11-22 10:27,55,Male,Employee,2-5yr,Car,  Recreational areas,Other,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight Injury,Yes,Yes,41.04730443,-73.62409839,0
202.77.129.150-10.42.0.211-443-51061-6,24,5.1,01-11-22 10:28,35,Male,Employee,1-2yr,Automobile,  Market areas,O Shape,Vehicle with vehicle collision,2,1,Going straight,No priority to vehicle,Slight Injury,Yes,Yes,41.07268242,-73.60271924,0
172.217.6.238-10.42.0.151-443-40562-6,28,5.4,01-11-22 10:34,45,Male,Employee,Above 10yr,Public (12 seats),Other,O Shape,Vehicle with vehicle collision,2,1,Moving Backward,Changing lane to the left,Slight Injury,No,No,41.09198213,-73.53416884,1
10.42.0.211-10.42.0.1-42988-53-17,24,4.8,01-11-22 10:40,35,Male,Employee,2-5yr,Public (13?45 seats),Other,No junction,Collision with roadside objects,1,2,Going straight,No priority to vehicle,Slight Injury,No,No,41.14290169,-73.55290111,1
172.217.6.234-10.42.0.211-443-36562-6,26,1.4,01-11-22 10:44,25,Male,Employee,5-10yr,Lorry (11?40Q), Industrial areas,No junction,Vehicle with vehicle collision,1,2,Moving Backward,Moving Backward,Slight Injury,No,No,41.11419047,-73.65385924,1
10.42.0.151-119.146.74.49-42884-80-6,32,2.2,01-11-22 10:46,60,Male,Employee,1-2yr,Stationwagen,Other,Y Shape,Collision with roadside objects,2,1,Going straight,Turnover,Slight Injury,No,No,41.36457277,-73.49872547,1
206.126.112.142-10.42.0.151-443-42271-6,36,4.5,01-11-22 10:51,45,Male,Employee,1-3yr,Ridden horse,Office areas,Y Shape,Collision with roadside objects,2,1,Going straight,No distancing,Slight Injury,No,No,29.54673604,-95.18118826,1
172.217.10.106-10.42.0.211-443-44350-6,31,5.1,01-11-22 10:52,45,Male,Owner,1-3yr,Stationwagen,,No junction,Collision with pedestrians,3,1,Going straight,No distancing,Slight Injury,Yes,Yes,30.74859548,-98.67679205,0
10.42.0.211-31.13.80.52-51843-443-6,31,3.9,01-11-22 10:57,65,Male,Employee,5-10yr,Automobile,Office areas,No junction,Vehicle with vehicle collision,3,1,Going straight,No distancing,Slight Injury,No,No,29.62518,-95.594861,1
10.42.0.1-10.42.0.42-53-42178-17,34,2.7,01-11-22 11:00,55,Male,Employee,2-5yr,Automobile,Office areas,No junction,Collision with roadside objects,3,1,U-Turn,Changing lane to the left,Slight Injury,Yes,Yes,26.18036576,-98.08235842,0
10.42.0.1-10.42.0.42-53-39537-17,25,2.6,01-11-22 11:04,20,Male,Employee,5-10yr,Other,Other,No junction,Vehicle with vehicle collision,2,2,Going straight,No priority to vehicle,Slight Injury,No,No,29.41135142,-95.03886392,1
